ID,Quelle,Thema,Befund,Art,Referenzstelle,Geprueft,Bewertung,Empfehlung,Meilenstein,Prioritaet,Status,Blockiert durch
FB-143,M5-Umsetzung,Eine ungenutzte Rahmenfunktion zieht Software-Fliesskomma ins Binary,"`takt_measure` im MCU-Rahmen gab seinen Wert als `(long long)(v * 1000000.0)` aus — eine `double`-Multiplikation. Der F401 hat eine f32-FPU, aber kein f64, also band der Linker die Software-Emulation dazu: `__muldf3` (776 B), `__aeabi_d2lz` (138 B) und `__aeabi_dmul` (12 B), zusammen 784 Byte in einem Binary von 4866 — 16 Prozent des Codes fuer eine Funktion, die dieses Programm nie rief. Entfernen kann der Linker sie nicht, weil der Rahmen sie als Symbol exportiert. Beim Beheben kam eine zweite Abweichung heraus: Keine der sechs Beobachtungszeilen (`alert`, `log`, `abort`, `measure`, `verify`, `verdict`) trug ihren Tick, obwohl `grammar/trace.md` `t=<tick> <art> …` vorgibt.",Fehler,12.3; 11.5; 4.2,"Beim Aufschluesseln des Blink-Binaries nach Herkunft gefunden: Von 4866 Byte Code stammten 144 aus der `.takt`-Datei. Am erzeugten Rahmen nachgeprueft, und dass das Programm kein `measure` enthaelt, ebenso. Der erste Eintrag schrieb der f64-Emulation 1778 Byte zu und zaehlte `u64_div_rem` (864 B) mit; das war falsch — die Funktion gehoert zu `write_u64` in der UART und bleibt zu Recht.","12.3 verlangt fuer die MCU „kein Heap, gesamter Zustand statisch und nennt Flash als knappe Groesse; 11.5 haelt den Flash-Posten gegen ein Budget. Ein Drittel des Binaries fuer eine tote Funktion ist damit kein Schoenheitsfehler, sondern eine Budgetfrage — auf einem Ziel mit 16 KiB waere es der Unterschied zwischen passt und passt nicht. Der tiefere Grund ist eine Formatentscheidung an der falschen Stelle: Der Rahmen rechnet Mikroeinheiten, weil er kein `printf` hat, und waehlt dafuer den breitesten Typ. 4.2 verlangt bitgleiche Ergebnisse ueber alle Targets, und gerade darum ist eine f64-Rechnung auf einem Kern ohne f64-Hardware die teuerste Art, sie zu bekommen.","Behoben: `measure` gibt das Bitmuster heraus statt zu rechnen — `__builtin_memcpy` in ein `unsigned long long`, kein Zeiger-Cast (der verletzte die Aliasing-Regeln und duerfte wegoptimiert werden). Das kostet keine Emulation und sagt mehr: 4.2 verlangt bitgleiche Ergebnisse ueber alle Targets, und `same_number` vergleicht Fliesskomma ohnehin bitweise (9.4.4) — eine Multiplikation waere eine zweite Rundungsquelle unmittelbar vor diesem Vergleich gewesen. Gemessen: 784 Byte weniger, 16,1 Prozent des Codes, `__muldf3` und `__aeabi_d2lz` verschwunden. Dazu tragen jetzt alle sechs Beobachtungszeilen ihren Tick. Zwei Tests halten es fest: dass im Rahmen keine Fliesskomma-Rechnung steht, und dass jede Beobachtungszeile den Tick schreibt. Der allgemeinere Punkt bleibt und ist jetzt sichtbar: Was der Rahmen an Emulation nach sich zieht, gehoert in den Flash-Posten — `takt size --object` zeigt es.",M5,mittel,behoben 2026-09-15,
FB-144,M5-Umsetzung,"Division hat eigene Gewichte, das Kostenmodell kennt sie nicht","7.2 sagt ausdruecklich: „Division hat eigene Gewichte, weil sie je nach Kern Hardwarebefehl oder Bibliotheksaufruf ist."" 9.4.3 kennt aber nur sieben Operationsklassen ohne Division, und `CostVec` bildet genau diese sieben ab. Eine Division zaehlt heute als gewoehnliche Operation ihrer Klasse — auf einem Kern ohne Hardware-Division ist das um eine Groessenordnung zu guenstig.",Luecke,7.2; 9.4.3,"Beim Einbau von `c_target` gefunden und an beiden Stellen nachgelesen. `class_of` in `analysis/cost.rs` unterscheidet nur Typ und Darstellung, nicht die Operation.","Die Referenz widerspricht sich, und beide Seiten haben ein Argument: Sieben Klassen sind eine Tabelle, die ein Mensch fuellen kann; vierzehn waeren genauer und doppelt so teuer zu messen. Der Fehler ist einseitig — die Rechnung unterschaetzt die Zeit, und eine Schedulability, die zu guenstig rechnet, sagt „passt"", wo sie es nicht weiss. Das ist dieselbe Klasse wie eine unvollstaendige Tabelle, nur subtiler: Dort faellt die Luecke auf, hier nicht.","Nicht jetzt entscheiden, aber vor dem M5-Exit. Drei Wege: (a) eine achte Klasse `div`, die der Codegen zaehlt — genauer, aber eine Aenderung an 9.4.3 und am Kostenmodell; (b) `c_target` bekommt je Klasse einen zweiten Wert fuer Division — die Tabelle waechst, das Modell bleibt; (c) 7.2 als Erlaeuterung lesen und die Abweichung in der Marge auffangen. Zu messen ist zuerst, wie gross der Fehler wirklich ist: Auf dem Cortex-M4 ist Integer-Division ein Hardwarebefehl (2-12 Zyklen), f64-Division auf einem Kern ohne FPU ein Bibliotheksaufruf. `takt bench` beantwortet das mit einer Messung statt mit einer Annahme — vorher waere jede Wahl geraten.",M5,mittel,bewertet 2026-09-15,TTL-Adapter (PA9) — die Entscheidung braucht die Messung
FB-145,M5-Umsetzung,"Was in T_IO faellt, sagt niemand","7.2 vergleicht die Rechenlast gegen `T₀ − T_IO`, 12.8 sagt, `T_IO` werde „je Zielklasse gemessen, nicht angenommen"", und 13.8 nennt es als Ausgabe von `takt bench`. Was genau hineinfaellt — Abtastung, Validierung des Treiberrands, Commit, Recorder, Treiber-ISRs —, steht an keiner Stelle. Die Umsetzung fuehrt das Feld und zieht es ab; ihr Doc-Kommentar sagt ehrlich „sagt die Referenz nicht"", und das ist keine Loesung, sondern eine festgehaltene Luecke.",Luecke,7.2; 12.8; 13.8; 12.1,"Beim Einbau von `c_target` an allen drei Fundstellen nachgelesen. 12.1 listet die Tickschleife in dreizehn Schritten auf — welche davon zu `T_IO` zaehlen, sagt sie nicht.","Ohne Definition ist `T_IO` nicht reproduzierbar messbar: Zwei Messungen desselben Boards koennten verschiedene Zahlen liefern, je nachdem, wo jemand die Grenze zieht — und die Schedulability haengt unmittelbar daran. Das ist schwerwiegender als es aussieht, weil der Fehler nicht auffaellt: Eine zu klein gemessene `T_IO` laesst mehr Programme durch, und keines davon meldet sich.","Behoben: 7.2 definiert `T_IO` jetzt ueber die Schritte der Tickschleife (12.1) — alles vor und nach `run_scheduled_machines`, ausgenommen `record_and_telemeter` (12.1 fuehrt es „ausserhalb der Semantik, nie blockierend"") und `maybe_sleep`. Die Abgrenzung ist zugleich die Messvorschrift fuer `takt bench`: Tickperiode minus Zeit in den Schrittfunktionen. Der Recorder bleibt draussen, weil die Instrumentierung sonst die Schranke verschoebe, die sie beobachtet — dieselbe Rueckkopplung, die FB-149 am Board gekostet hat.",M5,hoch,behoben 2026-09-15,
FB-146,M5-Umsetzung,Die Semantik von `wcet` ist eine Entscheidung ohne Referenztext,"7.2 sagt zu `wcet` nur: „vorgesehen, aber erst mit der kalibrierten Kostentabelle entscheidbar"". Offen bleiben vier Fragen, und die Umsetzung hat alle vier still beantwortet: die Einheit (jetzt `Duration`), ob gegen `B_m` oder `B_m + F_m` (jetzt beides, weil der Fault-Pfad im selben Tick laeuft), ob je Aktivierung oder je Tick (jetzt je Aktivierung, weil 9.4.3 `B_m` so definiert), und ob `T_IO` eingeht (jetzt nicht, weil es eine Eigenschaft des Ticks ist und nicht der Maschine).",Luecke,7.2; 9.4.3,"Beim Einbau entschieden und in `takt-sema::calibrated` begruendet. Die Begruendungen stehen im Code, nicht in der Referenz — und damit an der falschen Stelle: Wer `wcet` schreibt, liest 7.2.","Jede der vier Antworten ist verteidigbar, aber keine steht in der Referenz, und die Referenz gewinnt gegen jede andere Quelle. Solange das so bleibt, ist die Umsetzung eine Auslegung — eine zweite Umsetzung koennte anders entscheiden, und beide waeren konform. Das ist genau die Lage, die 9.4.4 vermeiden soll.","Behoben: 7.2 sagt jetzt, was `wcet` bedeutet — eine Dauer je Aktivierung, geprueft gegen `Σ_c (B_m,c + F_m,c) · c_target[c]`, mit Fault-Pfad (er laeuft im selben Tick, 5.4) und ohne `T_IO` (das gehoert dem Tick, nicht der Maschine). Je Aktivierung, weil 9.4.3 `B_m` so definiert. Dazu der Satz, dass die Pruefung ohne Kalibrierung meldet statt zu schweigen: Eine stumme Pruefung ist von einer bestandenen nicht zu unterscheiden. Die Umsetzung stand schon so; jetzt steht sie auch dort, wo man sie sucht.",M5,mittel,behoben 2026-09-15,
FB-147,M5-Umsetzung,Streuung und Marge der Kalibrierung sind ungeregelt,"13.8 sagt nur „kalibriert"". Ob `c_target[c]` das Maximum oder den Mittelwert vieler Messungen traegt, mit welcher Konfidenz, und ob eine Marge aufgeschlagen wird, steht nirgends. `plan/m5.md` 2.4 entscheidet es als Planungsvorgriff (Maximum je Klasse, Marge in die Konfiguration statt in die Rechnung) — das ist kein Referenztext.",Luecke,13.8; 7.2,Beim Einbau von `c_target` gesucht und in beiden Abschnitten nicht gefunden.,"Wird erst mit `takt bench` akut, ist dann aber sofort entscheidend: Eine Schedulability aus Mittelwerten ist keine Schranke, sondern eine Erwartung, und 9.4.2 verspricht Schranken. Das Maximum ist die einzige Wahl, die zur Zusage passt; die Marge gehoert daneben, damit sichtbar bleibt, wie viel Sicherheit eingerechnet wurde.","Mit `takt bench` entscheiden und dann in 13.8 festschreiben. Die Vorentscheidung aus m5.md 2.4 ist richtig und sollte dorthin wandern: Maximum je Klasse, Marge als eigenes Feld der Konfiguration. Eine Marge in der Rechnung waere unsichtbar, und eine unsichtbare Sicherheitsreserve ist keine.",M5,mittel,bewertet 2026-09-15,TTL-Adapter (PA9) — die Entscheidung braucht die Messung
FB-148,M5-Umsetzung,Konformitaetsbericht und Hardware-Konfiguration ueberschneiden sich,"11.3 fuehrt beide als eigene versionierte Formate. 13.8 sagt, die Messwerte „gehen in die Hardware-Konfiguration ein"" — aber `takt bench` produziert laut demselben Abschnitt einen *Bericht* mit „Verhaeltnis Takt/C je Kern, Anteil der impliziten Pruefungen, kalibrierte `c_target`-Tabelle je Klasse, `T_IO`, Tick-Jitter"". Ob `c_target` in beiden steht, oder im Bericht entsteht und in die Konfiguration uebertragen wird, ist nicht geregelt.",Luecke,11.3; 13.8,Beim Einbau von `c_target` an beiden Stellen nachgelesen.,"Zwei Formate mit demselben Inhalt sind zwei Quellen fuer dieselbe Zahl — genau die Doppelung, die bei der Tickperiode schon einmal zu einem zehnfachen Zeitfehler gefuehrt hat (FB-141). Die Unterscheidung ist trotzdem sinnvoll: Der Bericht ist ein Protokoll eines Laufs, die Konfiguration die Eingabe des Compilers. Was fehlt, ist die Richtung.","Behoben: 13.8 legt die Richtung fest. Der Bericht ist das Protokoll der Messung mit ihren Umstaenden (Datum, Board, Profil, Wiederholungen, Streuung), die Konfiguration traegt das Ergebnis, das der Compiler liest — Quelle und Ableitung, nicht zwei gleichrangige Quellen. `takt bench` schreibt beide in einem Lauf, damit sie nicht auseinanderlaufen; wer eine Zahl anzweifelt, findet im Bericht, wie sie entstand.",M5,niedrig,behoben 2026-09-15,
FB-149,M5-Umsetzung,Die Telemetrie hielt die Tickschleife auf und meldete es sich selbst,"Auf dem Board lief `29_heartbeat.takt` mit 1,5 s je Blinkzyklus statt 1,0 s, nach einer Korrektur mit 6,0 s. Zwei Ursachen, beide in der Telemetrie. Erstens rechnete `TRACE_EVERY` mit der reinen Uebertragungszeit und uebersah, dass `write_byte` blockierend auf `TXE` wartet: Was auf der Leitung steht, steht auch in der Schleife — 1,74 ms je Zeile bei 10 ms Periode, also 17 Prozent Auslastung allein fuer die Diagnose. Zweitens meldete `report`, solange `missed > 0`; jede Meldung kostete Zeit, verpasste weitere Ticks und wiederholte sich dadurch. Eine Rueckkopplung, die den Fehler von Faktor 1,5 auf Faktor 6 trieb.",Fehler,12.2; 12.3; 7.1,"Vom Nutzer gemessen (1,5 s, dann 6,0 s je Zyklus) und durch eine Probe getrennt: Mit deaktiviertem Trace blinkt es exakt 1,0 s, wie der Interpreter es vorgibt (Wechsel alle 50 Ticks). Damit ist die Telemetrie als Ursache belegt und die Tickkette entlastet — `minimal.rs` hatte sie schon mit 1 Hz bestaetigt.","12.2 sagt es fuer den `Sink` der Runtime woertlich: „wer nicht mitkommt, verwirft und zaehlt, statt die Steuerung aufzuhalten"". Die Telemetrie hielt sie auf. Der zweite Teil ist die eigentliche Lehre: Eine Diagnose, die verstaerkt, was sie misst, ist keine — sie macht aus einem kleinen Fehler einen grossen und verschleiert dabei, wie gross der kleine war. Dass die Korrektur (`TimerClock` verdrahten) zusammen mit der neuen Meldung kam, machte es schlimmer: Zwei Aenderungen in einem Commit, und die Messung konnte sie nicht auseinanderhalten.","Behoben: `TRACE_EVERY` verlangt jetzt das Zehnfache der Zeilendauer statt des Doppelten — bei 10 ms Tick heisst das eine Zeile je Sekunde und 0,28 Prozent Auslastung statt 17. `report` meldet nur noch Aenderungen, nicht Zustaende; ein Zaehler, der sich nicht bewegt, schweigt. Beide Zaehler bleiben, weil sie richtig sind: `TimerClock::missed` und `Telemetry::dropped` kannten die Ursache die ganze Zeit, nur las sie niemand. Offen bleibt die Frage, ob die Telemetrie ueberhaupt blockierend sein darf — 12.2 verlangt einen Ringpuffer mit nicht-blockierendem Sender, und `write_byte` mit Schranke ist nur die halbe Antwort. Das gehoert zu `takt driver-test` (M5, Schritt 7).",M5,hoch,behoben 2026-09-15,
FB-150,M5-Umsetzung,"Drei Fehler im Systemschlaf, keiner davon sichtbar","Die frisch gebaute `idle`-Vertikale hatte drei Fehler, und alle drei waren still. (1) `next_deadline` lieferte relative Ticks, der Trait verlangt einen absoluten Zeitpunkt in Nanosekunden — `Runtime::sleep` zog `now` davon ab, erhielt eine tief negative Zahl und schlief nie. (2) 9.9 verlangt „fuer jede Maschine: time_in_state += n*T0“; ein uebersprungener Tick ruft kein `_step`, also blieb der Zaehler stehen, und jede `after`-Frist waere um die geschlafenen Ticks zu spaet gefeuert — Satz 9.9.1 verletzt. (3) Die Fristrechnung teilte durch den Basis-Tick statt durch `period * T0`; bei `every 50 ms` war sie fuenfmal zu gross. Fehler 1 verdeckte 2 und 3, weil die Vertikale nie lief.",Fehler,9.9; 7.2,"Einen Fehler selbst gefunden — die Einheit fiel beim Nachlesen des Trait-Kommentars auf —, zwei durch einen Audit. Alle drei am Code belegt: der Trait-Vertrag in `loopcore.rs`, die Inkrementstelle von `t_in_state` in `step.rs`, und die Periodenrechnung, die `after` selbst benutzt.","Die Lehre ist die Testform, nicht die Fehler. Meine drei Tests prueften den *Text* der erzeugten IR — `sub i64 50,` stand da, also schien es zu stimmen. Keiner liess die Runtime laufen, und genau darum fiel nicht auf, dass die Zahl in der falschen Einheit ankam und der Zaehler nicht mitwuchs. Ein Test, der eine Zeichenkette sucht, prueft die Schreibweise; ein Test, der `Tick::slept` liest, prueft das Verhalten. Dasselbe Muster wie FB-142, wo ein Werkzeug Traces verglich, die nie zueinander passten.","Behoben: Die Umrechnung steht im Rahmen, wo `takt_now` ohnehin die Zeitquelle ist — `takt_now() + best * T0`. `<maschine>_advance(st, n)` traegt die uebersprungenen Ticks nach, `Program::advance` reicht sie durch, und die Tickschleife ruft sie nach jedem Schlaf. Die Fristrechnung nimmt `period * T0` und gibt Basis-Ticks zurueck, weil die Runtime darin springt. Drei neue Tests: zwei an der laufenden Runtime (`Tick::slept` und `advanced`), einer an einem Multirate-Programm. Nachgetragen 2026-09-15, die drei uebrigen Befunde des Audits: `dropped` wird beim Verwerfen in `idle` nicht gezaehlt (5.10 verlangt es), `StreamPaused` gibt es nirgends, und `takt_mcu_idle` prueft zwei der sechs Konjunkte statt der im Kommentar behaupteten vier. Alle drei behoben: `dropped[s, m]` sitzt jetzt je Maschine neben `cursors` und `examined` — 9.6 unterscheidet es ausdruecklich von `dropped[s]` am Puffer, weil beim Verwerfen in `idle` nur die schlafende Maschine verliert. `s.dropped` liest beide Anteile. Der Alert `StreamPaused` kommt beim Verlassen des Zustands, nicht waehrend des Schlafs. Und `takt_mcu_idle` prueft jetzt ein anliegendes Wake-Kommando mit; der Doc-Kommentar sagt, was wirklich geprueft wird — drei der sechs Konjunkte sind auf der MCU gegenstandslos, weil es dort keine geplanten Ausgaben, keine Jobs und keine Stroeme gibt. Beim Testen fiel ein vierter Fehler auf: Der Ueberlauf-Fault wurde an zwei Stellen erzeugt, und nur die interne war behandelt — `overflow_channel` stellte ihn auch schlafenden Maschinen zu.",M5,hoch,behoben 2026-09-15,
FB-151,M5-Umsetzung,"Der Interpreter beendete den Lauf, der erzeugte Code nicht","Tiefschlaf nach 12.7 war zuerst nur im Interpreter umgesetzt: `reboot = DEEP_SLEEP` beendete dort den Lauf und setzte die Outputs auf `safe`, der erzeugte C-Rahmen lief weiter. Satz 9.4.4 sagt, der Interpreter sei die Spezifikation — eine Abweichung ist ein Fehler des Codegens, und hier war es einer. Dass sie niemand bemerkt haette, lag an der Abnahme: Keines der 21 Korpusprogramme im Differentialtest band `sys/reboot`, und die einzige Datei, die es tut (`corpus-try/ref/12_7_01.takt`), wird nur tokenisiert und formatiert, nie ausgefuehrt.",Fehler,12.7; 9.4.4,"Durch einen Audit gefunden und sofort belegt: Ein neues Korpusprogramm `32_reboot.takt` in der Differentialliste liess den Test anschlagen — „t=5 reboot: Interpreter `NONE`, nativ `DEEP_SLEEP`"". Beim Beheben kam ein zweiter Fehler heraus, der aelter ist: `literal` im Rahmen kannte keine Enum-Varianten, also wurde *jeder* Enum-Ausgang mit `safe` nie zurueckgesetzt — nicht nur der Reboot-Befehl.","Zwei Befunde, eine Ursache: Was nicht verglichen wird, driftet. Der Differentialtest ist der Mechanismus, der 9.4.4 traegt, und er deckt nur ab, was in seiner Liste steht. Ein Konstrukt ohne Korpusprogramm ist unbewacht, egal wie sorgfaeltig beide Seiten geschrieben sind.","Behoben: Der Rahmen bricht bei `RESTART` und `DEEP_SLEEP` ab und setzt die Outputs auf `safe`; `literal` kennt feldlose Varianten und nimmt ihre Diskriminante, die explizit gesetzt sein kann. `32_reboot.takt` steht in der Differentialliste. Dazu drei kleinere Befunde desselben Audits: Nur der vordefinierte `RebootCmd` loest ein Kommando aus (ein eigenes Enum mit Variante `RESTART` tat es vorher auch), nur eine `hw`-Bindung (`sim` speist einen Input, und `sys/reboot` hat keinen), und ein Roundtrip-Test haelt die neue Trace-Zeile fest — den gab es fuer *keine* Zeilenart. Nachtrag: `literal` hat zwei Aufrufer — `safe_outputs` und `param_literal`. Geprueft wurde zuerst nur der erste; ein Parameter mit Enum-Default hatte dasselbe Problem. `33_enum_param.takt` in der Differentialliste belegt beide: Ohne den Fix meldet der Test 1 Abweichung beim Reboot und 61 beim Parameter.",M5,hoch,behoben 2026-09-15,
FB-152,M5-Umsetzung,"Der Typ-Hash schuetzte nicht, wogegen er schuetzen sollte","`persist` Stufe 1+2 war frisch geschrieben und trug sieben Fehler, fuenf davon genau an der Stelle, die `persist` ueberhaupt rechtfertigt. (1) `validate` prueft die deklarierte Range, aber nicht die Breite: `u8` ohne `in a..b` traegt `range: None`, also nahm eine u8-Variable den Wert 9999 an — und die Maschine faultete im Tick 0 mit `RangeFault`, statt den Default plus `PersistReset` zu liefern. 5.9 verlangt ausdruecklich das Gegenteil. (2) `write_enum` schrieb die Variantenzahl nicht vor die Liste, `write_record` schon; eine geschachtelte Variante konnte die Bytes der naechsten Variante des aeusseren Enums schlucken, und zwei verschiedene Typen bekamen denselben Schluessel. (3) `EnumDef::layout` floss nicht ein, obwohl `layout u8` die Byte-Breite des gespeicherten Werts ist — ein Update auf `u16` behielt den Eintrag und las ein Byte als zwei. (4) Einheiten gingen nur ueber den Namen ein: `unit spam = 2 m` zu `= 3 m` liess ein gespeichertes `5 spam` still 15 m statt 10 m bedeuten. (5) `is_pod` liess `bytes` durch und lehnte `vec` ab, obwohl 3.7 beide gleichrangig als POD nennt. (6) `Type::Map` fiel in einen `Debug`-Fallback, der TypeId-Nummern kodiert — die haengen an der Internierungsreihenfolge, also am Rest des Programms. (7) Der Codegen kennt `persist` nicht und erzeugte still Defaults, ohne das zu melden.",Fehler,5.9; 3.1; 3.2; 3.7; 9.4.4,"Von einem Audit gegen die Referenz gefunden, jeder Befund am Code belegt und von mir nachgestellt: Der u8-Fall zeigte `t=0 fault m RangeFault ""9999 ausserhalb der Range""`, die Enum-Kollision zwei Programme mit demselben Schluessel `0xf767f3095ca08957`, `layout u8` und `layout u16` denselben mit `0x82f0…`, `= 2 m` und `= 3 m` denselben mit `0xb21f…`. Nach den Korrekturen unterscheiden sich alle vier.","Die Lehre haengt an Befund 1. Ich hatte die Range geprueft, weil 5.9 sie nennt — und uebersehen, dass die Breite bei schmalen Typen ohne `in a..b` die einzige Schranke ist. Das Ergebnis war nicht bloss eine fehlende Pruefung, sondern ihr Gegenteil: Ein Eintrag, den `persist` gerade verwerfen sollte, riss die Maschine in den Fault-Pfad, bevor Programmcode sie schuetzen konnte. Die Befunde 2 bis 4 haben eine gemeinsame Form — ich hatte in den Doc-Kommentar geschrieben, der Hash solle „lieber einmal zu viel verwerfen als einmal zu wenig"", und dann eine Kodierung gebaut, die das an drei Stellen nicht leistet. Ein Kommentar, der eine Eigenschaft behauptet, ist kein Beleg fuer sie.","Behoben: `validate` prueft zuerst `arith::bounds(width)`, dann die Range — die vorhandene Funktion statt einer zweiten Quelle. `write_enum` schreibt Variantenzahl und `layout`, `write_unit` Dimension, Faktor und affinen Versatz. `vec` ist POD, mit Arm in `validate`; `line<N>` bleibt draussen, weil es mit `truncated` ein Zustandsbit traegt, das 3.7 bei den POD-Standardwerten nicht nennt. Der `Debug`-Fallback in `write_type` ist weg: Jeder POD-Typ hat einen eigenen Arm, alles andere nur seinen Diskriminanten — TypeIds gehoeren nie in einen Schluessel, der Firmware-Staende ueberdauert. Fuer Befund 7 meldet der Codegen jetzt `without_persist`, statt still Defaults zu erzeugen; das Journal bleibt M5-Schritt 11. Fuenf neue Tests, je einer je Kollision, und `35_persist.takt` in der Differentialliste — mit dem Vermerk, dass es die Rechnung prueft und nicht das Laden, weil beide Seiten mit leerem Speicher starten.",M5,hoch,behoben 2026-09-15,
FB-153,M5-Umsetzung,"Drei Fehler im Journal, die nur die Schleife zeigen konnte","Beim Bau des `persist`-Journals fielen drei Fehler auf, keiner davon in den Unit-Tests. (1) `Journal::new` allein war ein gefaehrlicher Zustand: Ohne vorheriges `load` wusste das Journal nicht, welcher Slot belegt ist, und der erste Schreibvorgang loeschte blind Slot 0 — den einzigen gueltigen Eintrag. Gefunden hat es der erschoepfende Stromausfalltest: Abbruch nach Byte 1 zerstoerte das Magic des *alten* Eintrags. (2) Die neue Trace-Zeile `persist <hex>` lief ueber `self.order`, die der Test zu Satz 9.4.1 permutiert — die Zeile haengt damit von der Schrittfolge ab, obwohl sie zum Trace gehoert. (3) `begin` rechnete den CRC ueber den lebenden Puffer `current`, `advance` schrieb Ticks spaeter aus demselben Puffer; dazwischen hatte sich der Wert geaendert, der CRC passte nicht mehr, und kein Slot galt. In den 13 Journal-Tests war `current` konstant — dort konnte der Fehler nicht auftreten.",Fehler,5.9; 9.4.1; 12.1,"Alle drei durch Tests belegt, die das Verhalten fahren statt den Text zu pruefen: der Stromausfalltest fuer jedes Byte des Schreibvorgangs (1), `theorem_9_4_1_holds_with_a_filled_store` mit drei Permutationen (2), und `the_loop_writes_the_journal_and_a_restart_reads_it_back`, der das Journal in `Runtime::step_persisting` mit einem Zaehler fahren laesst, der jeden Tick weiterzaehlt (3). Dazu eine Probe, dass der native Range-Test greift: ohne Pruefung im Codegen 41 Abweichungen.","Die Lehre ist dieselbe wie in FB-150, nur eine Stufe weiter: Dort prueften Tests den Text statt des Verhaltens, hier prueften sie das Verhalten — aber mit Eingaben, die sich nicht bewegten. Ein Journal, dessen Nutzlast zwischen zwei Polls konstant bleibt, ist ein Journal ohne Programm dahinter. Erst der Test, der die Tickschleife laufen laesst, stellt die Frage, die das Journal beantworten muss: Was passiert, wenn sich der Wert aendert, waehrend das Geraet noch schreibt? Der Reihenfolgefehler (2) zeigt etwas Aehnliches: Eine Zeile, die *neu* in den Trace kommt, muss die Zusagen erfuellen, die der Trace schon hat — und der Test zu 9.4.1 lief bereits, er musste nur ein Programm mit `persist` bekommen.","Behoben: `load` ist Vorbedingung, `poll` und `flush` verweigern ohne es. Die `persist`-Zeile laeuft ueber die Deklarationsreihenfolge (`runnable`), nicht ueber `self.order`. `begin` kopiert den Stand nach `stored` und schreibt daraus; `stored` ist damit zugleich Vergleichsstand und Kopie, ein dritter Puffer entfaellt. Ein Fehlschlag setzt `stored_len = 0`, der naechste Vergleich schreibt neu. Unterwegs eine Korrektur am eigenen Kommentar: Die Reihenfolge „Nutzlast vor Kopf"" schuetzt nicht allein — mit vertauschter Reihenfolge blieben alle Tests gruen, weil der CRC Kopf und Nutzlast deckt. Der Kommentar nennt sie jetzt die zweite Linie.",M5,hoch,behoben 2026-09-15,
